sex,age,geo,year,population,id
Females,Total,Spain,1995,20221727,424
Females,Total,Spain,1996,20307916,425
Females,Total,Spain,1997,20391551,426
Females,Total,Spain,1998,20478884,427
Females,Total,Spain,1999,20559311,428
Females,Total,Spain,2000,20643843,429
Females,Total,Spain,2001,20741653,430
Females,Total,Spain,2002,20919754,431
Females,Total,Spain,2003,21285371,432
Females,Total,Spain,2004,21622874,433
Females,Total,Spain,2005,21961051,434
Females,Total,Spain,2006,22290653,435
Females,Total,Spain,2007,22665690,436
Females,Total,Spain,2008,23077456,437
Females,Total,Spain,2009,23358739,438
Females,Total,Spain,2010,23504347,439
Females,Total,Spain,2011,23617694,440
Females,Total,Spain,2012,23719207,441
Females,Total,Spain,2013,23699424,442
Females,Total,Spain,2014,23621034,443
Females,Total,Spain,2015,23603001,444
Females,Total,Spain,2016,23612439,445
Females,Total,Spain,2017,23666286,446
Females,Total,Spain,2018,23755470,447
Females,Total,Spain,2019,23902168,448
Females,Total,Spain,2020,24107382,449
Females,Total,Spain,2021,24152187,450
Females,Total,Spain,2022,24198046,451
Females,Total,Spain,2023,24519768,452
Females,Total,Spain,2024,24792824,453
Females,Total,Finland,1995,2617105,454
Females,Total,Finland,1996,2625125,455
Females,Total,Finland,1997,2631724,456
Females,Total,Finland,1998,2638251,457
Females,Total,Finland,1999,2643571,458
Females,Total,Finland,2000,2648276,459
Females,Total,Finland,2001,2651774,460
Females,Total,Finland,2002,2657304,461
Females,Total,Finland,2003,2661379,462
Females,Total,Finland,2004,2666839,463
Females,Total,Finland,2005,2674534,464
Females,Total,Finland,2006,2683230,465
Females,Total,Finland,2007,2693213,466
Females,Total,Finland,2008,2703697,467
Females,Total,Finland,2009,2714661,468
Females,Total,Finland,2010,2726360,469
Females,Total,Finland,2011,2736860,470
Females,Total,Finland,2012,2748733,471
Females,Total,Finland,2013,2760052,472
Females,Total,Finland,2014,2770906,473
Females,Total,Finland,2015,2779890,474
Females,Total,Finland,2016,2785818,475
Females,Total,Finland,2017,2790970,476
Females,Total,Finland,2018,2793999,477
Females,Total,Finland,2019,2794629,478
Females,Total,Finland,2020,2797030,479
Females,Total,Finland,2021,2799985,480
Females,Total,Finland,2022,2805140,481
Females,Total,Finland,2023,2810493,482
Females,Total,Finland,2024,2829953,483
Females,Total,France,1995,30473942,484
Females,Total,France,1996,30592988,485
Females,Total,France,1997,30705968,486
Females,Total,France,1998,30822400,487
Females,Total,France,1999,30944296,488
Females,Total,France,2000,31161369,489
Females,Total,France,2001,31400989,490
Females,Total,France,2002,31645924,491
Females,Total,France,2003,31887488,492
Females,Total,France,2004,32120553,493
Females,Total,France,2005,32387008,494
Females,Total,France,2006,32638535,495
Females,Total,France,2007,32841832,496
Females,Total,France,2008,33026963,497
Females,Total,France,2009,33202247,498
Females,Total,France,2010,33357092,499
Females,Total,France,2011,33515819,500
Females,Total,France,2012,33671600,501
Females,Total,France,2013,33827685,502
Females,Total,France,2014,34120851,503
Females,Total,France,2015,34283895,504
Females,Total,France,2016,34391005,505
Females,Total,France,2017,34495464,506
Females,Total,France,2018,34611994,507
Females,Total,France,2019,34739132,508
Females,Total,France,2020,34828670,509
Females,Total,France,2021,34946473,510
Females,Total,France,2022,35109077,511
Females,Total,France,2023,35188809,512
Females,Total,France,2024,35271283,513
Females,Total,Metropolitan France,1995,29674479,514
Females,Total,Metropolitan France,1996,29780508,515
Females,Total,Metropolitan France,1997,29880271,516
Females,Total,Metropolitan France,1998,29982781,517
Females,Total,Metropolitan France,1999,30090468,518
Females,Total,Metropolitan France,2000,30291274,519
Females,Total,Metropolitan France,2001,30515553,520
Females,Total,Metropolitan France,2002,30745456,521
Females,Total,Metropolitan France,2003,30972368,522
Females,Total,Metropolitan France,2004,31190922,523
Females,Total,Metropolitan France,2005,31443888,524
Females,Total,Metropolitan France,2006,31685322,525
Females,Total,Metropolitan France,2007,31877660,526
Females,Total,Metropolitan France,2008,32050119,527
Females,Total,Metropolitan France,2009,32218275,528
Females,Total,Metropolitan France,2010,32367285,529
Females,Total,Metropolitan France,2011,32516716,530
Females,Total,Metropolitan France,2012,32676801,531
Females,Total,Metropolitan France,2013,32831856,532
Females,Total,Georgia,2000,2342400,533
Females,Total,Georgia,2001,2325600,534
Females,Total,Georgia,2002,2309800,535
Females,Total,Georgia,2003,2290700,536
Females,Total,Georgia,2004,2276200,537
Females,Total,Georgia,2005,2277900,538
Females,Total,Georgia,2006,2317400,539
Females,Total,Georgia,2007,2315157,540
Females,Total,Georgia,2008,2303675,541
Females,Total,Georgia,2009,2304622,542
Females,Total,Georgia,2010,2327477,543
Females,Total,Georgia,2011,2341972,544
Females,Total,Georgia,2012,2353823,545
Females,Total,Georgia,2014,2349126,546
Females,Total,Georgia,2015,1951000,547
Females,Total,Georgia,2016,1940900,548
Females,Total,Georgia,2017,1936700,549
Females,Total,Georgia,2018,1938074,550
Females,Total,Georgia,2019,1932565,551
Females,Total,Georgia,2020,1926579,552
Females,Total,Georgia,2021,1932350,553
Females,Total,Georgia,2022,1918652,554
Females,Total,Georgia,2023,1942537,555
Females,Total,Georgia,2024,1920139,556
Females,Total,Croatia,1995,2419922,557
Females,Total,Croatia,1996,2379549,558
Females,Total,Croatia,1997,2354543,559
Females,Total,Croatia,1998,2356509,560
Females,Total,Croatia,1999,2351650,561
Females,Total,Croatia,2000,2334657,562
Females,Total,Croatia,2001,2231309,563
Females,Total,Croatia,2002,2236467,564
Females,Total,Croatia,2003,2236999,565
Females,Total,Croatia,2004,2236884,566
Females,Total,Croatia,2005,2238580,567
Females,Total,Croatia,2006,2238554,568
Females,Total,Croatia,2007,2237349,569
Females,Total,Croatia,2008,2234979,570
Females,Total,Croatia,2009,2233029,571
Females,Total,Croatia,2010,2228196,572
Females,Total,Croatia,2011,2221105,573
Females,Total,Croatia,2012,2213675,574
Females,Total,Croatia,2013,2200305,575
Females,Total,Croatia,2014,2186646,576
Females,Total,Croatia,2015,2170159,577
Females,Total,Croatia,2016,2146424,578
Females,Total,Croatia,2017,2122085,579
Females,Total,Croatia,2018,2090961,580
Females,Total,Croatia,2019,2064873,581
Females,Total,Croatia,2020,2041528,582
Females,Total,Croatia,2021,2019003,583
Females,Total,Croatia,2022,2000012,584
Females,Total,Croatia,2023,1989028,585
Females,Total,Croatia,2024,1986557,586
Females,Total,Hungary,1995,5395080,587
Females,Total,Hungary,1996,5392007,588
Females,Total,Hungary,1997,5385291,589
Females,Total,Hungary,1998,5377960,590
Females,Total,Hungary,1999,5369020,591
Females,Total,Hungary,2000,5356450,592
Females,Total,Hungary,2001,5349286,593
Females,Total,Hungary,2002,5337873,594
Females,Total,Hungary,2003,5323906,595
Females,Total,Hungary,2004,5312629,596
Females,Total,Hungary,2005,5304434,597
Females,Total,Hungary,2006,5292002,598
Females,Total,Hungary,2007,5287080,599
Females,Total,Hungary,2008,5275839,600
Females,Total,Hungary,2009,5267925,601
Females,Total,Hungary,2010,5257424,602
Females,Total,Hungary,2011,5241821,603
Females,Total,Hungary,2012,5207259,604
Females,Total,Hungary,2013,5182225,605
Females,Total,Hungary,2014,5152770,606
Females,Total,Hungary,2015,5128422,607
Females,Total,Hungary,2016,5101174,608
Females,Total,Hungary,2017,5076104,609
Females,Total,Hungary,2018,5054972,610
Females,Total,Hungary,2019,5039416,611
Females,Total,Hungary,2020,5025500,612
Females,Total,Hungary,2021,5004102,613
Females,Total,Hungary,2022,4981528,614
Females,Total,Hungary,2023,4974484,615
Females,Total,Hungary,2024,4961249,616
Females,Total,Ireland,1995,1810405,617
Females,Total,Ireland,1996,1822709,618
Females,Total,Ireland,1997,1840254,619
Females,Total,Ireland,1998,1859395,620
Females,Total,Ireland,1999,1878331,621
Females,Total,Ireland,2000,1900701,622
Females,Total,Ireland,2001,1927201,623
Females,Total,Ireland,2002,1961797,624
Females,Total,Ireland,2003,1994964,625
Females,Total,Ireland,2004,2025689,626
Females,Total,Ireland,2005,2062322,627
Females,Total,Ireland,2006,2104707,628
Females,Total,Ireland,2007,2167328,629
Females,Total,Ireland,2008,2231011,630
Females,Total,Ireland,2009,2268664,631
Females,Total,Ireland,2010,2288454,632
Females,Total,Ireland,2011,2301455,633
Females,Total,Ireland,2012,2315288,634
Females,Total,Ireland,2013,2326317,635
Females,Total,Ireland,2014,2342002,636
Females,Total,Ireland,2015,2364285,637
Females,Total,Ireland,2016,2387145,638
Females,Total,Ireland,2017,2424201,639
Females,Total,Ireland,2018,2451343,640
Females,Total,Ireland,2019,2493497,641
Females,Total,Ireland,2020,2530888,642
Females,Total,Ireland,2021,2557709,643
Females,Total,Ireland,2022,2604045,644
Females,Total,Ireland,2023,2666848,645
Females,Total,Ireland,2024,2708306,646
Females,Total,Iceland,1995,133087,647
Females,Total,Iceland,1996,133648,648
Females,Total,Iceland,1997,134641,649
Females,Total,Iceland,1998,135937,650
Females,Total,Iceland,1999,137626,651
Females,Total,Iceland,2000,139384,652
Females,Total,Iceland,2001,141491,653
Females,Total,Iceland,2002,143125,654
Females,Total,Iceland,2003,144184,655
Females,Total,Iceland,2004,145169,656
Females,Total,Iceland,2005,146407,657
Females,Total,Iceland,2006,148689,658
Females,Total,Iceland,2007,151096,659
Females,Total,Iceland,2008,154563,660
Females,Total,Iceland,2009,157300,661
Females,Total,Iceland,2010,157694,662
Females,Total,Iceland,2011,158446,663
Females,Total,Iceland,2012,159211,664
Females,Total,Iceland,2013,160419,665
Females,Total,Iceland,2014,162353,666
Females,Total,Iceland,2015,163914,667
Females,Total,Iceland,2016,165259,668
Females,Total,Iceland,2017,167316,669
Females,Total,Iceland,2018,170850,670
Females,Total,Iceland,2019,174154,671
Females,Total,Iceland,2020,177193,672
Females,Total,Iceland,2021,179749,673
Females,Total,Iceland,2022,183153,674
Females,Total,Iceland,2023,187800,675
Females,Total,Iceland,2024,187015,676
Females,Total,Italy,1995,29275445,677
